symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-04-08 00:00:00+00:00,18.86,18.86,18.86,18.86,0,18.6097621315,18.6097621315,18.6097621315,18.6097621315,0,0.0,1.0
NASDX,2020-04-09 00:00:00+00:00,18.88,18.88,18.88,18.88,0,18.6294967679,18.6294967679,18.6294967679,18.6294967679,0,0.0,1.0
NASDX,2020-04-13 00:00:00+00:00,19.09,19.09,19.09,19.09,0,18.8367104502,18.8367104502,18.8367104502,18.8367104502,0,0.0,1.0
NASDX,2020-04-14 00:00:00+00:00,19.92,19.92,19.92,19.92,0,19.655697861,19.655697861,19.655697861,19.655697861,0,0.0,1.0
NASDX,2020-04-15 00:00:00+00:00,19.69,19.69,19.69,19.69,0,19.4287495424,19.4287495424,19.4287495424,19.4287495424,0,0.0,1.0
NASDX,2020-04-16 00:00:00+00:00,20.07,20.07,20.07,20.07,0,19.8037076341,19.8037076341,19.8037076341,19.8037076341,0,0.0,1.0
NASDX,2020-04-17 00:00:00+00:00,20.24,20.24,20.24,20.24,0,19.9714520436,19.9714520436,19.9714520436,19.9714520436,0,0.0,1.0
NASDX,2020-04-20 00:00:00+00:00,19.99,19.99,19.99,19.99,0,19.7247690885,19.7247690885,19.7247690885,19.7247690885,0,0.0,1.0
NASDX,2020-04-21 00:00:00+00:00,19.25,19.25,19.25,19.25,0,18.9945875414,18.9945875414,18.9945875414,18.9945875414,0,0.0,1.0
NASDX,2020-04-22 00:00:00+00:00,19.85,19.85,19.85,19.85,0,19.5866266336,19.5866266336,19.5866266336,19.5866266336,0,0.0,1.0
NASDX,2020-04-23 00:00:00+00:00,19.79,19.79,19.79,19.79,0,19.5274227244,19.5274227244,19.5274227244,19.5274227244,0,0.0,1.0
NASDX,2020-04-24 00:00:00+00:00,20.13,20.13,20.13,20.13,0,19.8629115433,19.8629115433,19.8629115433,19.8629115433,0,0.0,1.0
